## opening file [C100_FS.ttbar_pu200.AOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:C100_FS.ttbar_pu200.AOD.pool.root
Size:  1488492.204 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
       2.488 kb        0.625 kb        0.006 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.barcode
       2.537 kb        0.662 kb        0.007 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.pileupEventNumber
       2.392 kb        0.688 kb        0.007 kb        0.000      100  (B) TruthEventsAuxDyn.Q
       2.360 kb        0.723 kb        0.007 kb        0.000        1  (B) EventFormatStreamAOD
       2.396 kb        0.725 kb        0.007 kb        0.000      100  (B) TruthEventsAuxDyn.X2
       4.743 kb        0.739 kb        0.007 kb        0.000        1  (B) TruthMetaDataAux.
       1.819 kb        0.743 kb        0.007 kb        0.000        1  (T) DataHeaderForm
       2.396 kb        0.744 kb        0.007 kb        0.000      100  (B) TruthEventsAuxDyn.X1
       2.460 kb        0.745 kb        0.007 kb        0.000      100  (B) TruthEventsAuxDyn.IMPACTPARAMETER
       2.460 kb        0.749 kb        0.007 kb        0.000      100  (B) TruthEventsAuxDyn.EVENTPLANEANGLE
       2.401 kb        0.757 kb        0.008 kb        0.000      100  (B) TruthEventsAuxDyn.XF1
       2.401 kb        0.761 kb        0.008 kb        0.000      100  (B) TruthEventsAuxDyn.XF2
      20.917 kb        0.823 kb        0.008 kb        0.000      100  (B) EventInfoAux.
       1.457 kb        0.894 kb        0.009 kb        0.000      100  (B) EventInfoAuxDyn.pileUpMixtureIDLowBits
       1.462 kb        0.895 kb        0.009 kb        0.000      100  (B) EventInfoAuxDyn.pileUpMixtureIDHighBits
      19.029 kb        0.906 kb        0.009 kb        0.000        1  (B) _Digitization_Parameters
      10.694 kb        1.008 kb        0.010 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.SizeParameter
      10.671 kb        1.016 kb        0.010 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.InputType
      10.694 kb        1.023 kb        0.010 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.AlgorithmType
      10.653 kb        1.033 kb        0.010 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.Timing
      10.724 kb        1.041 kb        0.010 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_T
      10.712 kb        1.057 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostTausFinalPt
      10.729 kb        1.059 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostTausFinalCount
      10.776 kb        1.062 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelLxy
       6.740 kb        1.068 kb        0.011 kb        0.000        1  (B) _Generation_Parameters
      10.712 kb        1.072 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.ConeTruthLabelID
      10.753 kb        1.074 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostCHadronsFinalCount
      10.735 kb        1.084 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostCHadronsFinalPt
      10.753 kb        1.086 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostBHadronsFinalCount
      10.771 kb        1.092 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelDR
      10.771 kb        1.092 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPt
      10.771 kb        1.096 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelID
      10.724 kb        1.100 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_B
      10.735 kb        1.104 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostBHadronsFinalPt
      10.806 kb        1.104 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPtScaled
      10.817 kb        1.111 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclExtendedTruthLabelID
      11.816 kb        1.113 kb        0.011 kb        0.000      100  (B) PrimaryVerticesAuxDyn.hasValidTime
      10.788 kb        1.125 kb        0.011 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPdgId
      10.724 kb        1.158 kb        0.012 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelID
      10.724 kb        1.182 kb        0.012 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_C
       2.224 kb        1.188 kb        0.012 kb        0.000        1  (B) StreamAOD
      10.718 kb        1.246 kb        0.012 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostPartonsCount
       2.808 kb        1.371 kb        0.014 kb        0.000        1  (B) _TagInfo
      18.991 kb        1.392 kb        0.014 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.SizeParameter
      18.964 kb        1.423 kb        0.014 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.InputType
      18.991 kb        1.435 kb        0.014 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.AlgorithmType
      19.012 kb        1.443 kb        0.014 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostTausFinalPt
      19.032 kb        1.452 kb        0.015 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostTausFinalCount
      19.025 kb        1.457 kb        0.015 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_T
      19.060 kb        1.546 kb        0.015 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostBHadronsFinalCount
      19.060 kb        1.569 kb        0.016 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostCHadronsFinalCount
      17.193 kb        1.573 kb        0.016 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfInnermostPixelLayerSplitEndcapHits
      17.200 kb        1.576 kb        0.016 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfInnermostPixelLayerSharedEndcapHits
      17.234 kb        1.595 kb        0.016 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSplitEndcapHits
      19.039 kb        1.607 kb        0.016 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostBHadronsFinalPt
      10.700 kb        1.619 kb        0.016 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.GhostPartonsPt
      10.724 kb        1.619 kb        0.016 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelPt
      19.012 kb        1.619 kb        0.016 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.ConeTruthLabelID
      10.724 kb        1.627 kb        0.016 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelDR
      10.759 kb        1.627 kb        0.016 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelPtScaled
      17.241 kb        1.629 kb        0.016 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSharedEndcapHits
      10.747 kb        1.639 kb        0.016 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelEnergy
      19.080 kb        1.648 kb        0.016 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelID
      17.187 kb        1.656 kb        0.017 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapOutliers
      19.135 kb        1.676 kb        0.017 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclExtendedTruthLabelID
      19.039 kb        1.705 kb        0.017 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostCHadronsFinalPt
      19.101 kb        1.759 kb        0.018 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPdgId
      19.087 kb        1.761 kb        0.018 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelLxy
       3.354 kb        1.771 kb        0.018 kb        0.000        1  (B) _Simulation_Parameters
      19.080 kb        1.855 kb        0.019 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelDR
      19.080 kb        1.855 kb        0.019 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPt
      19.121 kb        1.873 kb        0.019 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.HadronConeExclTruthLabelPtScaled
      19.025 kb        1.875 kb        0.019 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_B
      17.925 kb        2.003 kb        0.020 kb        0.000      100  (T) Token
      17.228 kb        2.061 kb        0.021 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapOutliers
      19.025 kb        2.316 kb        0.023 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.TruthLabelDeltaR_C
       7.767 kb        2.331 kb        0.023 kb        0.000        1  (T) DataHeaderForm
      18.943 kb        2.336 kb        0.023 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.Timing
      41.081 kb        2.336 kb        0.023 kb        0.000      100  (B) PrimaryVerticesAuxDyn.time
      19.025 kb        2.352 kb        0.024 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelID
      41.179 kb        2.418 kb        0.024 kb        0.000      100  (B) PrimaryVerticesAuxDyn.timeResolution
      19.019 kb        2.556 kb        0.026 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostPartonsCount
      22.814 kb        2.838 kb        0.028 kb        0.000      100  (B) TruthPileupParticlesAux.
      17.159 kb        2.895 kb        0.029 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapHits
      10.718 kb        2.934 kb        0.029 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.pileupEventNumber
      61.557 kb        3.635 kb        0.036 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.truthOrigin
     194.898 kb        4.186 kb        0.042 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfInnermostPixelLayerSplitEndcapHits
     194.986 kb        4.250 kb        0.043 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSplitEndcapHits
      19.066 kb        4.260 kb        0.043 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelPtScaled
      19.025 kb        4.273 kb        0.043 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelPt
      18.998 kb        4.277 kb        0.043 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.GhostPartonsPt
      19.025 kb        4.297 kb        0.043 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelDR
      19.053 kb        4.336 kb        0.043 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.PartonTruthLabelEnergy
      17.200 kb        4.584 kb        0.046 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapHits
      17.084 kb        5.245 kb        0.052 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfContribPixelEndcap
      17.063 kb        5.361 kb        0.054 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfPixelEndcapHits
     120.543 kb        5.441 kb        0.054 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.trackLink
     195.001 kb        5.472 kb        0.055 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSharedEndcapHits
      19.019 kb        6.060 kb        0.061 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.pileupEventNumber
      61.531 kb        6.066 kb        0.061 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.truthType
      10.630 kb        7.131 kb        0.071 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.pt
      10.771 kb        7.174 kb        0.072 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_pt
      10.624 kb        7.266 kb        0.073 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.m
      10.765 kb        7.312 kb        0.073 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_m
      17.125 kb        7.493 kb        0.075 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfContribPixelBarrelLayers
     194.913 kb        7.521 kb        0.075 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfInnermostPixelLayerSharedEndcapHits
      10.636 kb        7.594 kb        0.076 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.phi
      10.776 kb        7.637 kb        0.076 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_phi
      10.636 kb        7.641 kb        0.076 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.eta
      61.658 kb        7.646 kb        0.076 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.truthClassification
      10.776 kb        7.680 kb        0.077 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_eta
    1246.302 kb        7.747 kb        0.077 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapOutliers
    1246.326 kb        7.771 kb        0.078 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfInnermostPixelLayerSplitEndcapHits
    1246.351 kb        7.792 kb        0.078 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfInnermostPixelLayerSharedEndcapHits
      17.063 kb        7.811 kb        0.078 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.numberOfPixelBarrelHits
    1246.448 kb        7.874 kb        0.079 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapOutliers
    1246.473 kb        7.895 kb        0.079 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSplitEndcapHits
    1246.497 kb        7.915 kb        0.079 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerSharedEndcapHits
     194.972 kb        8.017 kb        0.080 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfNextToInnermostPixelLayerEndcapOutliers
     194.884 kb        8.085 kb        0.081 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.numberOfInnermostPixelLayerEndcapOutliers
     769.067 kb        8.258 kb        0.083 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.truthOrigin
      18.916 kb        9.613 kb        0.096 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.pt
      19.080 kb        9.684 kb        0.097 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_pt
      18.909 kb        9.708 kb        0.097 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.m
      19.073 kb        9.778 kb        0.098 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_m
      18.923 kb       10.050 kb        0.100 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.phi
      18.923 kb       10.081 kb        0.101 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.eta
      19.087 kb       10.120 kb        0.101 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_phi
      19.087 kb       10.151 kb        0.102 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAuxDyn.JetConstitScaleMomentum_eta
    1198.444 kb       10.750 kb        0.107 kb        0.000      100  (B) EventInfoAuxDyn.subEventType
   29604.857 kb       11.236 kb        0.112 kb        0.000      100  (B) TruthParticlesAuxDyn.polarizationPhi
   29604.906 kb       11.277 kb        0.113 kb        0.000      100  (B) TruthParticlesAuxDyn.polarizationTheta
    1198.444 kb       13.770 kb        0.138 kb        0.000      100  (B) EventInfoAuxDyn.subEventTime
    4966.694 kb       15.667 kb        0.157 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticlesAuxDyn.truthOrigin
     769.021 kb       16.859 kb        0.169 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.truthType
      61.684 kb       18.480 kb        0.185 kb        0.000      100  (B) InDetLargeD0TrackParticlesAuxDyn.truthMatchProbability
   88235.538 kb       19.784 kb        0.198 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.sizeZ
   88235.562 kb       19.805 kb        0.198 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.omegax
   88235.562 kb       19.805 kb        0.198 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.omegay
   88235.587 kb       19.825 kb        0.198 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.waferID
   88235.709 kb       19.928 kb        0.199 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.LorentzShift
   88235.733 kb       19.948 kb        0.199 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.centroid_xphi
   88235.733 kb       19.948 kb        0.199 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.centroid_xeta
   93775.221 kb       20.631 kb        0.206 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.side
   88235.489 kb       20.653 kb        0.207 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.bec
   93775.294 kb       20.692 kb        0.207 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.waferID
   93775.196 kb       21.532 kb        0.215 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.bec
   88235.538 kb       25.237 kb        0.252 kb        0.000      100  (B) ITkStripMeasurements_offlAuxDyn.layer
     769.255 kb       26.781 kb        0.268 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.truthClassification
   93775.245 kb       28.386 kb        0.284 kb        0.000      100  (B) ITkPixelMeasurements_offlAuxDyn.layer
    1534.106 kb       31.918 kb        0.319 kb        0.000      100  (B) InDetTrackParticlesAuxDyn.trackLink
